datetime,Year,Month_of_year,Week_of_year,Day_of_year,Day_of_month,Day_of_week,Hour,Day_type,Dew_Point,Temperature,Pressure,Wind_Speed,pm2.5_prev_hour,pm2.5_prev_day,pm2.5_prev_week,Target
2010-01-08 00:00:00,2010,1,1,8,8,4,0,0,-21,-17.0,1031.0,1.79,190.0,127.0,129.0,6
2010-01-08 01:00:00,2010,1,1,8,8,4,1,0,-19,-16.0,1031.0,3.58,210.0,130.0,129.0,6
2010-01-08 02:00:00,2010,1,1,8,8,4,2,0,-20,-16.0,1031.0,0.89,195.0,43.0,129.0,5
2010-01-08 03:00:00,2010,1,1,8,8,4,3,0,-19,-15.0,1030.0,0.89,275.0,37.0,129.0,4
2010-01-08 04:00:00,2010,1,1,8,8,4,4,0,-18,-15.0,1030.0,0.45,164.0,30.0,129.0,4
2010-01-08 05:00:00,2010,1,1,8,8,4,5,0,-18,-15.0,1029.0,1.34,110.0,28.0,129.0,3
2010-01-08 06:00:00,2010,1,1,8,8,4,6,0,-18,-15.0,1029.0,1.79,100.0,24.0,129.0,3
2010-01-08 07:00:00,2010,1,1,8,8,4,7,0,-16,-13.0,1029.0,0.89,81.0,23.0,129.0,3
2010-01-08 08:00:00,2010,1,1,8,8,4,8,0,-16,-12.0,1029.0,0.89,71.0,24.0,129.0,4
2010-01-08 09:00:00,2010,1,1,8,8,4,9,0,-16,-12.0,1030.0,1.78,66.0,27.0,129.0,5
2010-01-08 10:00:00,2010,1,1,8,8,4,10,0,-17,-10.0,1030.0,0.89,92.0,40.0,129.0,5
2010-01-08 11:00:00,2010,1,1,8,8,4,11,0,-16,-10.0,1029.0,0.89,135.0,42.0,129.0,6
2010-01-08 12:00:00,2010,1,1,8,8,4,12,0,-16,-9.0,1028.0,3.13,155.0,42.0,129.0,6
2010-01-08 13:00:00,2010,1,1,8,8,4,13,0,-15,-8.0,1026.0,4.92,198.0,55.0,129.0,6
2010-01-08 14:00:00,2010,1,1,8,8,4,14,0,-16,-8.0,1026.0,0.89,250.0,52.0,129.0,6
2010-01-08 15:00:00,2010,1,1,8,8,4,15,0,-16,-8.0,1025.0,1.78,200.0,51.0,129.0,6
2010-01-08 16:00:00,2010,1,1,8,8,4,16,0,-16,-8.0,1025.0,2.67,231.0,57.0,129.0,6
2010-01-08 17:00:00,2010,1,1,8,8,4,17,0,-17,-8.0,1025.0,0.89,250.0,50.0,129.0,6
2010-01-08 18:00:00,2010,1,1,8,8,4,18,0,-17,-9.0,1026.0,0.45,212.0,54.0,129.0,6
2010-01-08 19:00:00,2010,1,1,8,8,4,19,0,-17,-11.0,1026.0,1.34,219.0,67.0,129.0,6
