window_start,error_rate,processing_time_s
0,0.6799999999999999,68.61677479743958
100,0.83,95.57811522483826
200,0.94,110.53654050827026
300,0.64,97.83094644546509
400,0.73,137.3634910583496
500,0.85,196.73037385940552
600,0.94,205.27867579460144
700,0.9299999999999999,104.5300714969635
800,0.69,93.44746017456055
900,0.73,251.50440287590027
1000,0.79,70.54199743270874
1100,0.72,200.80172681808472
1200,0.75,182.3408317565918
1300,0.5700000000000001,63.882142543792725
1400,0.9,183.5120108127594
1500,0.85,113.93146347999573
1600,0.84,91.9010968208313
1700,0.77,121.40750122070312
1800,0.91,113.18732857704163
1900,0.6799999999999999,85.70841002464294
2000,0.81,202.36878061294556
2100,0.88,293.57993602752686
2200,0.9,66.68110275268555
2300,0.81,70.89187955856323
2400,0.69,124.50391173362732
2500,0.9299999999999999,106.08894777297974
2600,0.6599999999999999,100.47663044929504
2700,0.88,125.27517223358154
2800,0.89,43.032588958740234
2900,0.85,147.80291152000427
3000,0.45999999999999996,102.3011326789856
3100,0.77,64.45947480201721
3200,0.72,123.70252823829651
3300,0.77,120.38874673843384
3400,0.8,67.60032892227173
3500,0.89,53.349772691726685
3600,0.69,127.92032551765442
3700,0.9299999999999999,96.31770586967468
3800,0.84,132.57737970352173
3900,0.69,151.42340087890625
4000,0.7,160.09869360923767
4100,0.84,175.1245732307434
4200,0.85,56.6157603263855
4300,0.47,111.96184420585632
4400,0.86,25.42067265510559
